,CLOSDATE,year,consolidation_code,num_months,Turnover,Sales,Employees,Material_costs,Depreciation,Costs_of_employees,Tangible_fixed_assets,Intangible_fixed_assets,Fixed_assets,other_fixed_assets,current_assets,tota_assets,current_liabilities,net_current_assets,Added_value,enterprise_value,costs_of_goods_sold,gross_profit,EBIT,EBITDA,liquidity_ratio,solvency_ratio_asset,solvency_ratio_liability,name,country,country_iso,entity_type,status,status_date,legal_form,entity_form,company_cateogry,listed,historical_record_flag,historical_record_date,nace_main_section,nace_core_code,NACE_prim,NACE_sec,revenue_per_employees,CASE_CODE,PROCEDURE_CODE,CASE_TITLE,FIRM NAME,MEMBER_STATE,SECTOR,CASE_CODE.1,AID_INSTRUMENT,CASE_TYPE,START_DATE,END_DATE,NOTIFICATION_DATE,DECISIONS,LAST_DECISION,OBJECTIVES,DECISION_DATE,OJ_INFO,RELATED_CASES,STATUS(0=SURVIVAL / 1=M&A / 2=DEATH),DEAL_TYPE,ACQUIROR,DATE_RACHAT_ou_death
AT9110044307,2010-12-31,2010,U2,12,2062262330.0,1893625402.0,4898.0,,57866764.0,356105298.0,79006.0,44655.0,71847548.0,71723887.0,36673326.0,108520873.0,,36673326.0,346270985.0,,,,-144858611.0,-86991846.0,,65.19,,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,421041.7170273581,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2010-12-31,2010,U2,12,2062262330.0,1893625402.0,4898.0,,57866764.0,356105298.0,79006.0,44655.0,71847548.0,71723887.0,36673326.0,108520873.0,,36673326.0,346270985.0,,,,-144858611.0,-86991846.0,,65.19,,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,421041.7170273581,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2009-12-31,2009,U2,12,1786101000.0,1785954000.0,,391992000.0,98750000.0,502144000.0,288300000.0,25812000.0,963627000.0,649516000.0,223585000.0,1187212000.0,646451000.0,-422866000.0,168697000.0,215557000.0,,,-380260000.0,-281510000.0,0.28,-23.87,,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2009-12-31,2009,U2,12,1786101000.0,1785954000.0,,391992000.0,98750000.0,502144000.0,288300000.0,25812000.0,963627000.0,649516000.0,223585000.0,1187212000.0,646451000.0,-422866000.0,168697000.0,215557000.0,,,-380260000.0,-281510000.0,0.28,-23.87,,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2008-12-31,2008,U2,12,2246000.0,2245000.0,,662000.0,85700.0,435000.0,523000.0,26900.0,1230000.0,681000.0,284000.0,1514000.0,551000.0,-267000.0,328000.0,352568000.0,,,-251000.0,-165000.0,0.43,10.48,12.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2008-12-31,2008,U2,12,2246000.0,2245000.0,,662000.0,85700.0,435000.0,523000.0,26900.0,1230000.0,681000.0,284000.0,1514000.0,551000.0,-267000.0,328000.0,352568000.0,,,-251000.0,-165000.0,0.43,10.48,12.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2007-12-31,2007,U2,12,2236613000.0,2235904000.0,,530738000.0,86476000.0,444058000.0,603727000.0,11814000.0,1194281000.0,578740000.0,543548000.0,1737829000.0,628704000.0,-85156000.0,554946000.0,452595000.0,,,-152404000.0,-65928000.0,0.8,20.57,26.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2007-12-31,2007,U2,12,2236613000.0,2235904000.0,,530738000.0,86476000.0,444058000.0,603727000.0,11814000.0,1194281000.0,578740000.0,543548000.0,1737829000.0,628704000.0,-85156000.0,554946000.0,452595000.0,,,-152404000.0,-65928000.0,0.8,20.57,26.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9150092530,2007-03-31,2007,U1,12,327601000.0,315816000.0,,216202000.0,5231000.0,16166000.0,20660000.0,806000.0,105404000.0,83939000.0,101771000.0,207175000.0,178080000.0,-76309000.0,31371000.0,,,,9449000.0,14679000.0,0.4,11.08,12.0,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2008-03-31,2008,U1,12,316646000.0,303552000.0,,252858000.0,4027000.0,14698000.0,6505000.0,1154000.0,89429000.0,81771000.0,90186000.0,179615000.0,147911000.0,-57725000.0,-19078000.0,,,,-6260000.0,-2233000.0,0.55,11.76,8.0,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2008-09-30,2008,U1,6,151325000.0,140387000.0,,125442000.0,1432000.0,7539000.0,5632000.0,907000.0,58003000.0,51465000.0,60912000.0,118915000.0,123307000.0,-62394000.0,-29921000.0,,,,-21621000.0,-20189000.0,0.42,-16.09,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2009-05-31,2009,U1,8,112815000.0,100193000.0,,89749000.0,1915000.0,9288000.0,4625000.0,479000.0,5104000.0,4.0,31031000.0,36136000.0,56989000.0,-25957000.0,-5107000.0,,,,-27849000.0,-25934000.0,0.43,-99.84,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2010-05-31,2010,U1,12,,,,,,,5402000.0,1544000.0,37230000.0,30284000.0,22779000.0,60009000.0,82749000.0,-59970000.0,,,,,,,0.19,-60.79,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2010-12-31,2010,U1,12,46297942.0,45104021.0,,34639810.0,1883832.0,8865609.0,4291275.0,1402590.0,37548931.0,31855066.0,22714326.0,60263257.0,,22714326.0,11806087.0,,,,-7609.0,1876223.0,,-61.65,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2014-12-31,2014,U1,12,63982357.0,59236029.0,275.0,43550262.0,692702.0,10536967.0,1662404.0,706762.0,2381708.0,12542.0,14721331.0,17103038.0,,14721331.0,12098788.0,,,,858343.0,1551045.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,232663.11636363636,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2012-12-31,2012,U1,12,59640938.0,55123537.0,275.0,40257222.0,3004136.0,12243855.0,2755545.0,403530.0,23964354.0,20805279.0,15291080.0,39255434.0,,15291080.0,12953961.0,,,,-5927119.0,-2922983.0,,2.69,2.76,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,216876.13818181818,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2013-12-31,2013,U1,12,59201764.0,56968062.0,275.0,41468005.0,1080889.0,10935264.0,1921951.0,16335.0,1993563.0,55277.0,17149793.0,19143356.0,,17149793.0,11573291.0,,,,-1816374.0,-735486.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,215279.14181818182,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2015-12-31,2015,U1,12,61501541.0,55020916.0,184.0,43180301.0,661537.0,9461626.0,1252714.0,431366.0,1696621.0,12541.0,12189329.0,13885950.0,,12189329.0,13247589.0,,,,2549600.0,3211137.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,334247.5054347826,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
AT9150092530,2016-12-31,2016,U1,12,45055171.0,32603741.0,100.0,29841486.0,1195314.0,7384575.0,463632.0,4142.0,480315.0,12541.0,5664770.0,6145084.0,,5664770.0,11778020.0,,,,3198114.0,4393429.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,,C - Manufacturing,1391.0,1391.0,1392.0,450551.71,N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
