CASE_CODE,PROCEDURE_CODE,CASE_TITLE,FIRM NAME,MEMBER_STATE,SECTOR,CASE_CODE,AID_INSTRUMENT,CASE_TYPE,START_DATE,END_DATE,NOTIFICATION_DATE,DECISIONS,LAST_DECISION,OBJECTIVES,DECISION_DATE,OJ_INFO,RELATED_CASES,BvD_ID_NUMBER,STATUS(0=SURVIVAL / 1=M&A / 2=DEATH),DEAL_TYPE,ACQUIROR,DATE_RACHAT_ou_death
SA.45295,2016/NN,Aide au sauvetage en faveur de Ateliers Roger Poncin,Ateliers Roger Poncin,Belgium,F.43 - Specialised construction activities,SA.45295,Soft loan,Individual Application,24-05-2016,24-11-2016,03-05-16,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,08-06-16,JOCE C/341/2016,,BE0415657965,0,,,
SA.34791,"2012/NN, 2013/C",VAL SAINT LAMBERT SA,VAL SAINT LAMBERT SA,Belgium,	C.23.4 - Manufacture of other porcelain and ceramic products,SA.34791,Soft loan,Individual Application,,,11-05-12,"Corrigendum, Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative Decision with Recovery,Rescuing firms in difficulty,19-03-15,"JOCE C/213/2013, JOCE L/269/2015",,BE0807886175,1,,,
SA.35528,2013/C,Aide à la restructuration en faveur du Val Saint Lambert SA,Val Saint Lambert SA,Belgium,C.32 - Other manufacturing,SA.35528,Other,Individual Application,03-10-2012,03-10-2022,03-10-12,Withdrawal of notification (after formal investigation procedure),Withdrawal of notification (after formal examination procedure),Restructuring firms in difficulty,31-07-14,,"SA.34791, SA.34791",BE0807886175,1,Acquisition 75%,George Forrest,07.2018
N769/2002,N769/2002,ABX SAUVETAGE,ABX,Belgium,H - Transporting and storage,N769/2002,Other forms of equity intervention,Scheme,,,02-12-02,"Article 4(3) - decision not to raise objections, Article 7(3) - positive decision",Positive decision,Rescuing firms in difficulty,19-12-03,JOCE C/009/2004,,BE0861445419,0,,,
C53/2003,"C53/2003, NN62/2003",ABX restructuration,ABX,Belgium,x,C53/2003,Debt write-off,Ad Hoc Case,,,23-07-03,"Conditional decision, Decision finding that the measures do not constitute aid (after formal investigation procedure), Decision to extend proceedings, Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,07-12-05,"JOCE C/009/2004, JOCE C/153/2005, JOCE L/383/2006",,BE0861445419,1,Institutional Buyout 100%,XB Luxembourg Holding SA,03/08/2006
SA.28903,"C12/2010, N389/2009",Ruse Industry,Rousse Shipyard,Bulgaria,C.30.1 - Building of ships and boats,SA.28903,Debt write-off,Ad Hoc Case,,,30-06-09,"Corrigendum, Decision to initiate the formal investigation procedure, Negative decision with recovery, Withdrawal of notification (after formal investigation procedure)",Withdrawal of notification (after formal examination procedure),Restructuring firms in difficulty,03-04-12,"JOCE C/187/2010, JOCE L/320/2012",,BG*839031745,1,Acquisition 75%,Vives EAD,25.07.2013
N402/2010,N402/2010,Rescue aid for the Bulgarian State Railways EAD (BDZ),Bulgarian State Railways EAD (BDZ),Bulgaria,"H.49.10 - Passenger rail transport, interurban, H.49.20 - Freight rail transport",N402/2010,"Guarantee, Soft loan",Ad Hoc Case,01-01-2011,01-07-2011,16-09-10,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Rescuing firms in difficulty, Services of general economic interest",15-12-10,JOCE C/187/2011,,BG130822878,0,,,
SA.37220,"2013/NN, 2014/C",Restructuring aid for Cyprus Airways (Public) Ltd,Cyprus Airways (Public) Ltd,Cyprus,H.51 - Air transport,SA.37220,Other forms of equity intervention,Ad Hoc Case,,,22-07-13,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,09-01-15,"JOCE C/117/2014, JOCE L/179/2015","C10/2006, C10/2006, SA.32523, SA.32523, SA.35888, SA.35888, SA.38225, SA.38225",CYC314,2,,,
SA.35888,"2013/C, 2013/NN",Rescue aid for Cyprus Airways (Public) Ltd,,Cyprus,H.51.1 - Passenger air transport,SA.35888,"Other, Other forms of equity intervention, Soft loan",Ad Hoc Case,,,13-12-12,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Rescuing firms in difficulty,09-01-15,"JOCE C/152/2013, JOCE L/179/2015","C10/2006, C10/2006, SA.32523, SA.32523, SA.37220, SA.37220",CYC314,2,,,
C10/2006,"C10/2006, N555/2005",Restructuring to CYPRUS AIRWAYS,CYPRUS AIRWAYS,Cyprus,H.51 - Air transport,C10/2006,Guarantee,Scheme,,,10-11-05,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive Decision,Restructuring firms in difficulty,07-03-07,"JOCE C/113/2006, JOCE L/49/2008",,CYC314,2,,,
SA.15409,2003/N,Ekoagrobanka,Ekoagrobanka,Czech Republic,"K.64 - Financial service activities, except insurance and pension funding",SA.15409,Other,Ad Hoc Case,,,23-12-03,Corrigendum,Corrigendum,"Rescuing firms in difficulty, Restructuring firms in difficulty",03-03-04,JOCE C/115/2004,,CZ00555568,2,,,
N600/2004,N600/2004,Approval of capacity reductions for VPFM,GO Steel Stydek Mistek,Czech Republic,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,N600/2004,Direct grant,Ad Hoc Case,,,03-12-04,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,02-03-05,JOCE C/176/2005,,CZ04795784,1,Acquisition 75%,Stalprodukt SA,19.12.2019
SA.30908,"2011/C, N176/2010",CSA - Czech Airlines - Restructuring plan,Czech Airlines,Czech Republic,H.51 - Air transport,SA.30908,Other forms of equity intervention,Ad Hoc Case,30-06-2010,,12-05-10,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,19-09-12,"JOCE C/182/2011, JOCE L/92/2013",,CZ45795908,1,Acquisition 97.3%,Travel Service,10/2017
N153/2000,N153/2000,Asset deal between SKL Motoren und systemtechnik and MTU (SKL - M/MTU asset deal),SKL Motoren und systemtechnik and MTU (SKL - M/MTU asset deal),Germany,C - Manufacturing,N153/2000,Direct grant,Ad Hoc Case,,,23-03-00,Article 4(4) - decision to initiate the formal investigation procedure,Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,26-07-00,,,DE*606788602,1,Acquisition 100%,Laempe Gmbh,23/08/2001
NN167/2002,NN167/2002,Dach Sanitär Handel,Dach Sanitär Handel,Germany,S.96.0 - Other personal service activities,NN167/2002,Guarantee,Ad Hoc Case,,,30-12-02,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,13-05-03,JOCE C/227/2003,,DE*821196832,0,,,
SA.34890,"2012/C, 2012/N",Rettungsbeihilfe für Nürburgring,Nürburgring,Germany,"I.55.10 - Hotels and similar accommodation
L.68.20 - Renting and operating of own or leased real estate
R.93.11 - Operation of sports facilities
R.93.21 - Activities of amusement parks and theme parks",SA.34890,"Guarantee, Soft loan",Individual Application,15-05-2012,15-11-2012,25-05-12,Other,Other,"Culture, Employment, Regional development, Rescuing firms in difficulty, Restructuring firms in difficulty",07-08-12,JOCE C/333/2012,"SA.31550, SA.31550",DE*Z00004719,1,Aquisition majoritaire (unknown majority stake),NR HOLDING AG,30.10.2014
C16/2003,"C16/2003, NN89/2002",Bürgschaften des Landes Berlin für die Herlitz AG,Bürgschaften des Landes Berlin für die Herlitz AG,Germany,C - Manufacturing,C16/2003,"Debt write-off, Other forms of equity intervention",Ad Hoc Case,,,19-02-03,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Rescuing firms in difficulty, Restructuring firms in difficulty",30-06-04,"JOCE C/100/2003, JOCE L/324/2005",,DE2010000524,1,Acquisition 65%,Pelikan,11/2009
SA.48937,2017/N,Rescue aid in favour of Air Berlin PLC & Co. Luftverkehrs KG,Air Berlin PLC & Co. Luftverkehrs KG,Germany,H.51 - Air transport,SA.48937,"Interest subsidy, Loan/ Repayable advances",Ad Hoc Case,04-09-2017,,15-08-17,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,04-09-17,JOCE C/400/2017,,DE2010366899,2,,,27/10/2017
NN171/2003,NN171/2003,Rescue aid to Zehdenick Electronic Gruppe,Zehdenick Electronic Gruppe,Germany,C.27 - Manufacture of electrical equipment,NN171/2003,Soft loan,Ad Hoc Case,,,23-12-03,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,02-06-04,JOCE C/077/2005,,DE2010446750 ,2,,,03.04.2019
NN14/1998,NN14/1998,AIDE EN FAVEUR DE BERLIN COSMETIKS GMBH & CO.KG,BERLIN COSMETIKS GMBH & CO.KG,Germany,C - Manufacturing,NN14/1998,Direct grant,Ad Hoc Case,,,06-02-98,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Rescuing firms in difficulty, Restructuring firms in difficulty",12-07-00,JOCE C/310/2000,,DE2010924174,0,,,
N47/2003,N47/2003,Aid in favour of BAE Berliner Batteriefabrik GmbH and MODAC GmbH,BAE Berliner Batteriefabrik GmbH and MODAC GmbH,Germany,C - Manufacturing,N47/2003,Soft loan,Ad Hoc Case,,,29-01-03,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,15-10-03,JOCE C/001/2004,,DE2011383428,1,Acquisition 100%,IBG Holding BV,07.12.2005
N360/2002,N360/2002,Rescue aid in favour of BAE Berliner Batteriefabrik and MODAC,BAE Berliner Batteriefabrik and MODAC,Germany,C - Manufacturing,N360/2002,Soft loan,Individual Application,,,31-05-02,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,24-07-02,JOCE C/262/2002,,DE2011685245,0,,,
SA.26351,"C43/2008, N390/2008",€ - $ - WestLB risk shield,WestLB,Germany,"K.64 - Financial service activities, except insurance and pension funding",SA.26351,Guarantee,Ad Hoc Case,,,08-08-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum",Conditional decision,Restructuring firms in difficulty,16-04-12,"JOCE C/322/2008, JOCE L/152/2013, JOCE L/345/2009",,DE2011735625,divisé en 2 aprés la crise des années 2008,,,
SA.33662,2011/NN,Rescue aid in favour of Solon SE,Solon SE,Germany,C - Manufacturing,SA.33662,Guarantee,Ad Hoc Case,08-08-2011,31-12-2011,05-09-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,20-12-11,JOCE C/12/2012,,DE2012009283,2,,,
NN85/2002,NN85/2002,Aid in favour of CargoLifter AG,CargoLifter AG,Germany,C - Manufacturing,N77/2003,Soft loan,Ad Hoc Case,,,15-05-02,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,16-10-02,JOCE C/015/2003,,DE2022089406,2,,,07/06/2002
C5/2003,"C5/2003, NN115/2002",Rescue aid in favor of MobilCom AG - Germany,MobilCom AG,Germany,S.96.0 - Other personal service activities,C5/2003,Guarantee,Ad Hoc Case,,,21-01-03,"Article 4(3) - decision not to raise objections, Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum",Decision to initiate the formal investigation procedure,Rescuing firms in difficulty,11-08-04,"JOCE C/080/2003, JOCE C/210/2003, JOCE L/116/2005",,DE2090152239 ,2,,,
N17/2000,N17/2000,"Aid in favour of ORWO Media GmbH, Sachsen-Anhalt",ORWO Media GmbH,Germany,S.96.0 - Other personal service activities,N17/2000,x,Ad Hoc Case,,,03-01-00,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,28-06-00,JOCE C/278/2000,,DE2150501747,1,Acquisition 100%,Pixelnet AG,28/12/2002
N534/2008,N534/2008,Rescue aid for Lindenau Schiffswerft,Lindenau Schiffswerft,Germany,C.30.1 - Building of ships and boats,N534/2008,Guarantee,Individual Application,01-01-2009,30-06-2009,07-10-08,"Article 4(3) - decision not to raise objections, Corrigendum",Decision not to raise objections,Rescuing firms in difficulty,09-01-09,JOCE C/50/2009,,DE2151637427,1,Acquisition 100%,Nobiskrug GmBh,04.01.2015
C62/2001,"C62/2001, NN8/2000","CR62/01 - State Aid in favour of Neue Erba Lautex GmbH Weberei und Veredlung, Sachsen",Neue Erba Lautex GmbH Weberei und Veredlung,Germany,C.13 - Manufacture of textiles,C62/2001,"Debt write-off, Soft loan",Ad Hoc Case,,,25-07-01,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery",Negative Decision with Recovery,Rescuing firms in difficulty,12-03-02,"JOCE C/310/2001, JOCE L/282/2002",,DE2190139108   ,2,,,03.03.2015
NN37/2004,NN37/2004,Lloyd Werft Bremerhaven GmbH (LW),Lloyd Werft,Germany,C.30.1 - Building of ships and boats,NN37/2004,Soft loan,Ad Hoc Case,,,02-03-04,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,08-09-04,JOCE C/095/2005,,DE2350165695,1,Acquisition 70%,Genting Hong Kong LTD,18.09.2015
C93/2001,"C93/2001, NN7/2000","Aid in favour of Heckert Chemnitzer Werkzeugmaschinenbau Gmbh, Sachsen",Heckert Chemnitzer Werkzeugmaschinenbau Gmbh,Germany,C.33.20 - Installation of industrial machinery and equipment,C93/2001,Soft loan,Ad Hoc Case,,,20-12-01,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive Decision,Restructuring firms in difficulty,30-04-03,"JOCE C/051/2002, JOCE L/199/2003",,DE3030125113,0,,,
N22/2000,N22/2000,Aide en faveur de Homatec Industrietechnick GmbH,Homatec Industrietechnick GmbH,Germany,F - Construction,N22/2000,x,Ad Hoc Case,01-01-2000,31-12-2004,06-01-00,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,12-07-00,JOCE C/310/2002,,DE3030172844,0,,,
NN44/2004,NN44/2004,Rescue aid to SVZ Schwarze Pumpe GmbH,SVZ Schwarze Pumpe GmbH,Germany,x,NN44/2004,Soft loan,Ad Hoc Case,,,09-07-04,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,20-04-05,JOCE C/009/2006,,DE3050081184,1,Acquisition 100%,Sustec holding ag,27/09/2005
C61/1997,C61/1997,AID FOR ELPRO AG (BERLIN),ELPRO AG (BERLIN),Germany,"C.27 - Manufacture of electrical equipment, F - Construction",C56/1997,"Guarantee, Soft loan",Ad Hoc Case,24-06-1996,31-12-2001,16-09-97,"Article 4(2) - decision does not constitute aid, Article 4(3) - decision not to raise objections, Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Rescuing firms in difficulty, Restructuring firms in difficulty",14-03-00,"JOCE C/084/1999, JOCE C/099/1998, JOCE L/229/2000",,DE3050286351,0,,,
NN92/1999,NN92/1999,Mesures en faveur de Zentrum Mikroelektronik GmbH,Zentrum Mikroelektronik GmbH,Germany,C.27 - Manufacture of electrical equipment,NN92/1999,"Direct grant, Soft loan",Ad Hoc Case,,,06-07-99,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,18-07-01,JOCE C/328/2001,,DE3070077741,1,Acquisition 100%,Integrated Device Technology Inc,07.12.2015
C55/2000,"C55/2000, NN5/2000",Mesacon Messelektronik Gmbh - Dresden,Mesacon Messelektronik Gmbh - Dresden,Germany,C - Manufacturing,C55/2000,"Other forms of equity intervention, Soft loan",Ad Hoc Case,,,12-10-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,17-10-01,"JOCE C/037/2001, JOCE L/134/2002",,DE3070199029,0,,,
C56/1997,C56/1997,CR56/97 - Aid in favour of Zeuro Möbelwerk Gmbh (Thuringen),Zeuro Möbelwerk Gmbh,Germany,x,C56/1997,"Direct grant
Other
Soft loan",Ad Hoc Case,01-01-1996,31-12-1999,25-07-96,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,21-12-00,"JOCE C/025/1998, JOCE L/282/2002",C56/1997,DE3110135145,1,Acquisition 100%,un particulier,31.05.2005
C9/2000,"C9/2000, NN5/1999",Second privatisation of KataLeuna GmbH Catalysts,KataLeuna GmbH Catalysts,Germany,C.20 - Manufacture of chemicals and chemical products,C9/2000,Direct grant,Individual Application,,,06-03-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,13-02-01,"JOCE C/142/2000, JOCE L/245/2001",,DE3130103851,0,,,
C26/2000,"C26/2000, N590/1999",State aid in favour of Bell Flavors & Fragrances Duft und Aroma GmbH,Bell Flavors & Fragrances Duft und Aroma GmbH,Germany,x,C26/2000,x,Ad Hoc Case,,,26-04-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 8(2) - withdrawal of notification (after formal investigation procedure)",Withdrawal of notification (after formal examination procedure),"Rescuing firms in difficulty, SMEs",20-09-00,JOCE C/160/2001,,DE3150068175,0,,,
NN164/1999,NN164/1999,"Aid in favour of EBAWE Anlagetechnik GmbH, Eilenburg - Sachsen",EBAWE Anlagetechnik GmbH,Germany,F - Construction,NN164/1999,x,Ad Hoc Case,,,14-12-99,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,30-05-00,JOCE C/310/2000,,DE3150188687,0,,,
C10/2000,"C10/2000, NN112/1999",Aid in favour of STAMAG Stahl und Maschinenbau AG,STAMAG,Germany,C.33.20 - Installation of industrial machinery and equipment,C10/2000,"Debt write-off, Guarantee",Ad Hoc Case,,,06-03-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 8(2) - withdrawal of notification (after formal investigation procedure)",Article 8(2) - withdrawal of notification (after formal investigation procedure),Restructuring firms in difficulty,15-11-00,"JOCE C/110/2000, JOCE C/270/2005",,DE3150229732,2,,,12.03.2014
NN55/2008,NN55/2008,Rescue aid to Delitzscher Schokolade,Delitzscher Schokolade,Germany,"C.10.82 - Manufacture of cocoa, chocolate and sugar confectionery",NN55/2008,Soft loan,Ad Hoc Case,14-08-2008,01-02-2009,12-08-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Rescuing firms in difficulty",11-12-08,JOCE C/9/2009,,DE3150325299,1,Acquisition 100%,Halloren Schokoladenfabrik AG,29/11/2008
C6/2000,"C6/2000, NN93/1999",CR6/2000 - Kvaerner Warnow Werft excess payment of restructuring aid,Kvaerner Warnow Werft,Germany,C.30.1 - Building of ships and boats,C6/2000,Direct grant,Individual Application,,,02-02-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery, Corrigendum",Negative Decision with Recovery,Restructuring firms in difficulty,27-10-04,"JOCE C/134/2000, JOCE L/120/2005",,DE3190084209,1,Merger 100%,Aker MTV,04.02.2003
C46/1999,"C46/1999, NN59/1999",KVAERNER WARNOW WERFT - EXCEEDING OF CAPACITY LIMITATION IN 1997,KVAERNER WARNOW WERFT GmbH,Germany,C.30.1 - Building of ships and boats,C46/1999,Debt write-off,Ad Hoc Case,,,08-07-99,"Decision to initiate the formal investigation procedure, Negative decision without recovery",Negative Decision without recovery,Restructuring firms in difficulty,15-02-00,"JOCE C/245/1999, JOCE L/120/2000",,DE3190084209,1,Merger 100%,Aker mtw werft gmbh,
C44/2001,"C19/2000, C44/2001, NN147/1998","CR19/2000 - Technische Glaswerke Ilmenau, GmbH","Technische Glaswerke Ilmenau, GmbH",Germany,C - Manufacturing,C44/2001,Soft loan,Ad Hoc Case,,,04-12-98,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,02-10-02,"JOCE C/217/2000, JOCE C/272/2001, JOCE L/062/2002, JOCE L/140/2003","C1/2001, C1/2001, C44/2001, C44/2001, C44/2001",DE3210056774,0,,,
C42/1998,C42/1998,"CR42/98 - CDA Compact Disc Albrechts Gmbh, Albrechts",CDA Compact Disc Albrechts Gmbh,Germany,C.27 - Manufacture of electrical equipment,C42/1998,Other,Ad Hoc Case,,,03-06-98,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative Decision with Recovery,Restructuring firms in difficulty,21-06-00,"JOCE C/390/1998, JOCE L/318/2000",,DE3210072875,1,Acquisition 100%,Nordholding Unternehmensbeteiligungsgesellschaft Mbh,31.05.2013
C52/2000,"C52/2000, NN80/1999",KHK Verbindetechnik GmbH Brotterode,KHK Verbindetechnik GmbH Brotterode,Germany,C - Manufacturing,C52/2000,x,Individual Application,,,21-09-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,03-07-01,"JOCE C/027/2001, JOCE L/031/2002",,DE3210072920 ,0,,,
C27/2000,"C27/2000, NN84/1998","Aid in favour of Deckel Maho Seebach GmbH, Thüringen",Deckel Maho Seebach GmbH,Germany,C.33.20 - Installation of industrial machinery and equipment,C27/2000,"Direct grant, Other forms of equity intervention, Soft loan",Ad Hoc Case,,,26-04-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive Decision,Restructuring firms in difficulty,17-10-01,"JOCE C/126/2002, JOCE C/217/2000",,DE3230052471,1,Aquisition remaining 37.5%,Gildemeister AG,
C30/2001,"C30/2001, NN64/1998",Gothaer Fahrzeugtechnik GmbH,Gothaer Fahrzeugtechnik GmbH,Germany,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,C30/2001,"Direct grant, Soft loan, Tax allowance",Ad Hoc Case,,,23-05-01,"Article 10(3) - information injunction, Article 7(3) - positive decision",Positive Decision,Restructuring firms in difficulty,30-01-02,"JOCE C/211/2001, JOCE L/314/2002",,DE3230074141,1,Institutional Buyout 100%,Finatem Fond Management,2018
SA.34143,2011/N,Rescue aid to Odersun AG,Odersun AG,Germany,C.32 - Other manufacturing,SA.34143,"Guarantee, Soft loan",Ad Hoc Case,30-12-2011,30-04-2012,08-12-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,07-02-12,JOCE C/77/2012,,DE3250168152,2,,,18.06.2012
C43/2001,"C43/2001, NN28/2001",CR43/01 - Mesures financières de la BVS en faveur de l'entreprise Chemische Werke Piesteritz GmbH,Chemische Werke Piesteritz GmbH,Germany,C.20 - Manufacture of chemicals and chemical products,C43/2001,"Direct grant, Guarantee, Other, Soft loan, Tax allowance",Ad Hoc Case,,,20-06-01,"Decision not to raise objections, Decision to initiate the formal investigation procedure, Information injunction, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,02-03-05,"JOCE C/051/1998, JOCE C/226/2001, JOCE L/296/2005",,DE3290046871,0,,,
